n_surgeries,n_surgeons,pct_long,n_rooms,n_nurses,scheduled,unscheduled,avg_util_%
10,11,0.1,10,11,10,0,20.5
10,13,0.1,10,11,10,0,22.3
10,15,0.1,10,11,10,0,18.7
10,11,0.1,10,13,10,0,22.3
10,13,0.1,10,13,10,0,22.3
10,15,0.1,10,13,10,0,18.7
10,11,0.2,10,11,10,0,22.9
10,13,0.2,10,11,10,0,22.9
10,15,0.2,10,11,10,0,22.9
10,11,0.2,10,13,10,0,22.9
10,13,0.2,10,13,10,0,22.9
10,15,0.2,10,13,10,0,22.9
20,11,0.1,10,11,20,0,45.5
20,13,0.1,10,11,19,1,39.8
20,15,0.1,10,11,20,0,37.4
20,11,0.1,10,13,19,1,36.5
20,13,0.1,10,13,19,1,36.5
20,15,0.1,10,13,20,0,39.4
20,11,0.2,10,11,17,3,44.7
20,13,0.2,10,11,18,2,47.4
20,15,0.2,10,11,18,2,46.2
20,11,0.2,10,13,17,3,50.6
20,13,0.2,10,13,18,2,47.1
20,15,0.2,10,13,18,2,41.9
25,11,0.1,10,11,24,1,63.1
25,13,0.1,10,11,23,2,53.4
25,15,0.1,10,11,24,1,50.7
25,11,0.1,10,13,23,2,58.3
25,13,0.1,10,13,23,2,53.4
25,15,0.1,10,13,24,1,47.3
25,11,0.2,10,11,19,6,58.1
25,13,0.2,10,11,18,7,57.4
25,15,0.2,10,11,19,6,54.1
25,11,0.2,10,13,18,7,53.1
25,13,0.2,10,13,18,7,58.3
25,15,0.2,10,13,20,5,58.1
30,11,0.1,10,11,27,3,67.3
30,13,0.1,10,11,28,2,63.0
30,15,0.1,10,11,27,3,64.2
30,11,0.1,10,13,28,2,71.9
30,13,0.1,10,13,28,2,58.1
30,15,0.1,10,13,28,2,69.7
30,11,0.2,10,11,22,8,64.4
30,13,0.2,10,11,23,7,66.2
30,15,0.2,10,11,21,9,61.2
30,11,0.2,10,13,22,8,65.7
30,13,0.2,10,13,22,8,62.2
30,15,0.2,10,13,21,9,56.6
